BBG000DZJVH0|NexstarMediaGroupInc
BBG000BQHGR6|ONEOK
BBG000BNSZP1|Mc’DONALDS
BBG000BHJSC4|BarrettBusinessServicesInc
BBG000BGRY34|CVSHealthCorporation
BBG000VMWHH5|DiscoveryCommunications(C)
BBG000BKH263|NeoGenomicsInc
BBG000QW7VC1|HCAHealthcare
BBG005YHY0Q7|JD.com
BBG000C6GN04|QuidelCorp
BBG00FH3FM15|TCR2TherapeuticsInc
BBG000C41023|UDR
BBG000L9CV04|UnitedParcelService
BBG000BBHXQ3|ArthurJ.Gallagher&Co
BBG00G4Y2DC1|SelectEnergyServicesInc
BBG00B8N0HG1|YumChinaHoldings
BBG000BXQ7R1|ChinaSouthernAirlines
BBG000LJS6B8|AllegiantTravelCo
BBG002R1CW27|Ingersoll-Rand
BBG000BWSV34|Whirlpool
BBG000C1JTL6|TotalSystemServices
BBG00HCY3Q67|WyndhamHotels&Resorts
BBG0016X4XN6|CornerstoneOnDemandInc
BBG000K4WS65|CavcoIndustriesInc
BBG000BB6KF5|MetLife
BBG000BNBPQ0|LeggMason
BBG000BSBBP1|Rollins
BBG000QY4ZD0|AgiosPharmaceuticalsInc
BBG000BTNGZ4|OmnicellInc
BBG000BR2B91|Pfizer
BBG000BWQFY7|WellsFargo&Company
BBG000P2TYL8|LPLFinancialHoldings
BBG000BG5BL8|CharlesRiverLaboratoriesInt
BBG000PN9NB9|AltairEngineeringInc
BBG000QBR5J5|DiscoverFinancialServices
BBG001K61W36|Nevro
BBG00629NGT2|TradeDeskInc/The
BBG000BJF1Z8|FedEx
BBG000FQRVM3|Waters
BBG0077SYZV6|BootBarnHoldingsInc
BBG005PXTR70|MalibuBoatsInc
BBG000FJH8W0|HanoverInsuranceGroup
BBG000P1K2X6|ChartIndustriesInc
BBG000DW76Y6|FairIsaacCorp
BBG000BJ81C1|TravelersCos
BBG009DFHWG6|Rapid7Inc
BBG000BG3445|TheCooperCompanies
BBG000HN7W02|ePlusInc
BBG000C4ZZ10|SignetJewelers
BBG002PHSYX9|DiamondbackEnergyInc
BBG000BHLYP4|CMEGROUP
BBG000BTCH57|C.H.RobinsonWorldwide
BBG000BLY663|CrocsInc
BBG000G0Z878|HartfordFinancialServices
BBG000HXJB21|iRobotCorp
BBG00L9HLWV8|MadisonSquareGardenEntertainment
